Sequência;Data oficial;Objeto;Destinos;Cidades;Pastas;Órgão;Situação;Liderança;Valor total;Valor liberado
33;27/02/2024;Duplicação PR - 218 entre Arapongas e Astorga;PR 1821;;Emenda ao texto da lei;ALEP - Assembleia Legislativa do Pr.;Em andamento;;R$ 30.000.000,00;R$ 0,00
32;27/02/2024;Construção Centros de Reabilitação;Centros de Reabilitação;;Emenda ao texto da lei;ALEP - Assembleia Legislativa do Pr.;Em andamento;;R$ 10.000.000,00;R$ 0,00
30;27/02/2024;Construção Centros de Reabilitação;Centros de Reabilitação;;Emendas à Despesa 2024;ALEP - Assembleia Legislativa do Pr.;Em andamento;;R$ 0,00;R$ 0,00
29;27/02/2024;"Ampliação de Escolas Especiais ";APAE - PR;;Emendas à Despesa 2024;ALEP - Assembleia Legislativa do Pr.;Em andamento;;R$ 0,00;R$ 0,00
28;27/02/2024;Investimento;Associação de Pais e Amigos de Deficientes Visuais - APADEVI;Ponta Grossa;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
27;27/02/2024;"Investimento  ";Associação Jacarezinhense de reabilitação ao deficiente auditivo e atendimento ao deficiente visual;Jacarezinho;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
26;27/02/2024;Investimento;Associação de Pais e Amigos dos Deficientes Visuais;Guarapuava;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
25;27/02/2024;"Investimento  ";Associação de Proteção dos Autistas de Dois Vizinhos;Dois Vizinhos;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
24;27/02/2024;Investimento - Acordo Parlamentar;Universidade Livre para a Eficiência Humana - UNILEHU;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 50.000,00;R$ 50.000,00
23;27/02/2024;Investimento - Acordo Parlamentar;Associação de Proteção ao Deficiente Físico e Mental Tia Maria;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 30.000,00;R$ 30.000,00
22;27/02/2024;"Investimento ";AFAN- Associação Feminina de Amparo ao Deficiente e Recém Nascido;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
21;27/02/2024;Investimento;Instituto de Estudos e Pesquisa da Excepcionalidade - IEPE;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
20;27/02/2024;"Investimento ";União de Profissionais para atendimento do Excepcional - UPAE;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 40.000,00;R$ 40.000,00
19;27/02/2024;Investimento;Sociedade Civil Primavera SCP;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 30.000,00;R$ 30.000,00
18;27/02/2024;Investimento;IHOEPAR- INSTITUTO DE HABILITAÇÃO E ORIENTAÇÃO DO EXCEPCIONAL DO PARANÁ;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 35.000,00;R$ 35.000,00
17;27/02/2024;Investimento;Fundação Ecumênica de Proteção ao Excepcional - FEPE;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 65.000,00;R$ 65.000,00
16;27/02/2024;Investimento;Associação Mantenedora do Centro Integrado de Prevenção - AMCIP;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
15;27/02/2024;Investimento;Associação de Pais e Amigos de Surdos - APAS;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
14;27/02/2024;"Investimento ";Associação Curitibana de Apoio e Integração do Excepcional;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 30.000,00;R$ 30.000,00
13;27/02/2024;Investimento;Associação de Profissionais, Pais e Amigos da Criança Especial - APPACE;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
12;27/02/2024;Investimento;FACE- Fundação de Assistência á Criança Cega;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
11;27/02/2024;Investimento;Associação dos Deficientes Visuais do Paraná - ADEVIPAR;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
10;27/02/2024;Investimento;Centro de Orientação e Controle de Excepcionais de Curitiba - COCEC;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 60.000,00;R$ 60.000,00
9;27/02/2024;Investimento;Associação do Deficiente Motor;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 65.000,00;R$ 65.000,00
7;27/02/2024;Investimento;Associação Ruth Schrank;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 35.000,00;R$ 35.000,00
6;27/02/2024;Investimento;Associação Franciscana de Educação ao Cidadão Especial - AFECE;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 50.000,00;R$ 50.000,00
5;27/02/2024;Investimento - Bazana;Pequeno Cotolengo;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 55.000,00;R$ 55.000,00
4;27/02/2024;Investimento;Associação Mantenedora do Ensino Alternativo - AMENA;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Aguardando Pagamento;;R$ 25.000,00;R$ 0,00
3;27/02/2024;"Investimento ";"Associação Beneficiente Renascer ";Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 30.000,00;R$ 30.000,00
2;27/02/2024;Investimento;Instituto de Recuperação Pedagógico - I.R.P;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 25.000,00;R$ 25.000,00
1;27/02/2024;Investimento;Associação Erceana Campolarguense - ERCE;Campo Largo;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 35.000,00;R$ 35.000,00
