Sequência;Data oficial;Ofício (antigo);Título;Tipo;Órgão;Ofícios;Cidade;Situação;Criador
3125;12/03/2024;;Importação de Atendimentos;3º Setor;;;Maringá - PR;Aguardando atendimento;Lucilene Marques
3124;12/03/2024;;Importação de Atendimentos;3º Setor;;;Piraquara - PR;Aguardando atendimento;Lucilene Marques
3123;12/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3122;07/03/2024;;Importação de Atendimentos;3º Setor;;;São Mateus do Sul - PR;Aguardando atendimento;Lucilene Marques
3121;06/03/2024;;Importação de Atendimentos;3º Setor;;;Arapongas - PR;Aguardando atendimento;Lucilene Marques
3120;06/03/2024;;Importação de Atendimentos;3º Setor;;;Ribeirão Claro - PR;Aguardando atendimento;Lucilene Marques
3119;06/03/2024;;Importação de Atendimentos;3º Setor;;;Arapongas - PR;Aguardando atendimento;Lucilene Marques
3118;06/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3117;06/03/2024;;Importação de Atendimentos;3º Setor;;;Pitanga - PR;Aguardando atendimento;Lucilene Marques
3116;27/02/2024;;Importação de Atendimentos;3º Setor;;;Mato Rico - PR;Aguardando atendimento;Lucilene Marques
3115;28/02/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3114;27/02/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3113;27/02/2024;;Importação de Atendimentos;3º Setor;;;Piraquara - PR;Aguardando atendimento;Lucilene Marques
3112;27/02/2024;;Importação de Atendimentos;3º Setor;;;Arapongas - PR;Aguardando atendimento;Lucilene Marques
3111;27/02/2024;;Importação de Atendimentos;3º Setor;;;Arapongas - PR;Aguardando atendimento;Lucilene Marques
3110;07/09/2022;;Importação de Atendimentos;3º Setor;;;Paranaguá - PR;Aguardando atendimento;Lucilene Marques
3109;14/12/2022;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3108;14/12/2024;;PRONAS - Elaboração do Projeto, Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Boa Vista da Aparecida - PR;Atendida;Lucilene Marques
3107;21/07/2025;;MENÇÃO HONROSA À APAE DE CÉU AZUL, EM HOMENAGEM AOS 50 ANOS DE FUNDAÇÃO;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3106;03/02/2026;;MENÇÃO HONROSA EM HOMENAGEM AOS 87 ANOS DO INSTITUTO PARANAENSE DE CEGOS – IPC.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3105;16/12/2025;;MENÇÃO HONROSA EM HOMENAGEM AO SENHOR JOÃO LUIZ GIONA JUNIOR;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Aberto;Sylvana Zeballos
3104;09/12/2025;;MENÇÃO HONROSA EM “HOMENAGEM AOS PRESIDENTES E DIRETORES DAS APAES, DA FEBIEX/PR E ORGANIZAÇÕES DE ATENDIMENTO À PESSOA COM DEFICIÊNCIA”,;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3103;14/12/2024;;PRONAS - Elaboração do Projeto, Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Piraí do Sul - PR;Atendida;Lucilene Marques
3102;14/12/2023;;PRONAS - Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Pinhais - PR;Atendida;Lucilene Marques
3101;14/12/2023;;PRONAS - Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Ipiranga - PR;Atendida;Lucilene Marques
3100;14/12/2023;;PRONAS - Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Jussara - PR;Atendida;Lucilene Marques
3099;14/12/2023;;PRONAS - Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Laranjeiras do Sul - PR;Atendida;Lucilene Marques
3098;14/12/2023;;PRONAS - Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;São João do Triunfo - PR;Atendida;Lucilene Marques
